"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"A&D CHARITABLE FOUNDATION, INC.","Great Lakes PACE","H9185","National PACE","National PACE","05/01/2015","Not-for-Profit/Non-Profit","A&D Charitable Foundation, Inc.","Chicago","193","3378 Fashion Square Blvd","","Saginaw","MI","48603","Program Director","Benjamin","David","","1-989-272-7610","","","dbenjamin@greatlakespace.org","3378 Fashion Square Blvd","","Saginaw","MI","48603","03/14/2017"
"ABSOLUTE TOTAL CARE, INC.","Wellcare Prime by Absolute Total Care","H1723","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2015","For Profit","Centene Corporation","Atlanta","2,572","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"AETNA BETTER HEALTH INC. (GA)","Aetna Medicare","H3146","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","68,080","2000 Riveredge Parkway","Suite 200","Atlanta","GA","30328","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/07/2018"
"AETNA BETTER HEALTH INC. (NJ)","Aetna Better Health of New Jersey","H6399","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","CVS Health Corporation","Philadelphia","7,304","3 Independence Way, Suite 400","","Princeton","NJ","08540","Director of Provider Expe","Koblens","Matt","","1-844-362-0934","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","10/13/2023"
"AETNA BETTER HEALTH INC. (OH)","Aetna Better Health of Ohio, MyCare Ohio","H7172","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2014","For Profit","CVS Health Corporation","Dallas","13,257","7400 W Campus Rd","","New Albany","OH","43054","Director of Provider Expe","Koblens","Matt","","1-855-364-0974","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","10/13/2023"
"AETNA BETTER HEALTH OF CALIFORNIA INC.","Aetna Medicare","H4982","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","26,134","9350 Waxie Way, Suite 210","","San Diego","CA","92123","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA BETTER HEALTH OF KANSAS INC.","Aetna Medicare","H8332","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","CVS Health Corporation","Philadelphia","14,540","9401 Indian Creek Pkwy","","Overland Park","KS","66210","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/13/2020"
"AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Better Health Premier Plan","H8026","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","CVS Health Corporation","Chicago","8,546","28588 Northwestern Hwy","Suite 380B","Southfield","MI","48034","Director of Provider Expe","Koblens","Matt","","1-855-676-5771","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","10/13/2023"
"AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Medicare","H2056","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","14,617","28588 Northwestern Hwy, Suite 380B","","Southfield","MI","48034","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/06/2018"
"AETNA BETTER HEALTH OF OKLAHOMA INC.","Aetna Medicare","H4835","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","5,382","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA BETTER HEALTH OF TEXAS INC.","Aetna Medicare","H8597","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Philadelphia","36,156","750 W. Carpenter Freeway, Suite 1200","","Irving","TX","75039","Lead Director, D-SNP Prog","Penn","Linda","","1-682-760-0262","","","PennL1@aetna.com","CVS Irving Tower","750 W. John Carpenter Freeway","Irving","TX","75039","06/21/2022"
"AETNA BETTER HEALTH OF WASHINGTON, INC.","Aetna Medicare","H3748","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","17,829","600 University St.","Suite 920","Seattle","WA","98101","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/10/2018"
"AETNA BETTER HEALTH PREMIER PLAN MMAI INC.","Aetna Better Health Premier Plan","H2506","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","CVS Health Corporation","Dallas","14,763","3200 Highland Ave.","Third Floor MC F661","Downers Grove","IL","60515","Director of Provider Expe","Koblens","Matt","","1-866-600-2139","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","10/13/2023"
